FECHA,PLU,DETALLE,VENTA
01/04/2025,7790742373304,finlandia light 290g,3500.0
23/04/2025,7790742373809,cremon light 280g,2900.0
11/09/2024,7790742373908,cremon original 280g,2800.0
16/07/2024,7790742387707,dulce de leche 300g,2250.0
03/05/2025,7790742436108,leche entera povlo  200g,3500.0
03/05/2025,7790742436207,leche polvo descrema 200g,3500.0
31/07/2024,7790742436306,leche polvo entera estuche 400,6100.0
31/07/2024,7790742436405,leche en polvo descremada estu,6750.0
31/07/2024,7790742436504,leche polvo zero lactosa 400g,7400.0
01/04/2025,7790742566010,bebible vainilla 200ml,850.0
01/04/2025,7790742566027,bebible frutilla 200ml,850.0
14/05/2024,7790742567024,bebible frutilla 1L square,2500.0
10/05/2025,7790742625106,dulce de leche colonial 250g,2400.0
01/04/2025,7790742625205,dulce lehce colonial 400g,3200.0
08/05/2025,7790742625304,dulce de leche clasico 400g,2900.0
22/01/2025,7790742625809,dulce de leche deslatosa 300g,2800.0
08/03/2025,7790742661067,bebible sachet ddl 900ml,2000.0
03/05/2025,7790742665010,bebeible vainilla 900g,2200.0
02/05/2025,7790742665027,bebible c.leche frutilla 900ml,2200.0
02/05/2025,7790742665041,bebible durazno  900ml,2200.0
31/07/2024,7790742669001,producto untable 200g,1700.0
15/04/2025,7790742671653,caramel 1L,3800.0
18/04/2025,7790742770103,crema batir 200ml,2500.0
11/01/2025,7790742770310,crema para cocinar 200ml,2500.0
28/01/2025,7790742771100,crema para batir 330ml,3500.0
03/12/2024,7790742771209,crema cocinar 330ml,3500.0
04/03/2025,7790742872012,vainilla 200ml,1300.0
05/12/2024,7790742872654,caramel 200ml,1300.0
01/10/2024,7790742872661,cappuccino 200ml,1300.0
01/10/2024,7790742872739,macchiato 200ml,1300.0
05/05/2024,7790748235064,caballa en aceite 380g,3100.0
05/05/2024,7790748235095,caballa natural 380g,3100.0
10/07/2024,7790757100195,pionono150g,1600.0
16/04/2025,7790770002573,toallas ultra delgada 8U,850.0
16/04/2025,7790770601004,toallas rosa 8u,850.0
04/06/2024,7790770601103,toallas con ala violeta x8u,900.0
04/06/2024,7790770601110,toalla largo rosa 8u,900.0
04/06/2024,7790770601127,toallas normal sin ala 8u,900.0
09/08/2024,7790770601134,diarios con frangancia 50Und.,2300.0
09/08/2024,7790770601141,protector diarios rosa50u,2300.0
29/07/2024,7790770601158,protectores celetes 20Und.,1000.0
12/08/2024,7790770601172,toallas pd cola less 20U,1400.0
04/06/2024,7790770601486,diarios respirables 50u,2000.0
10/07/2024,7790770601622,toalla nocturna suave 8u,2900.0
10/07/2024,7790770601646,toallas norma suave 8u,1800.0
10/07/2024,7790770601752,toallas clasica esencial 8u,1300.0
10/07/2024,7790770601929,toalla invisible suave x8Und.,2200.0
16/04/2025,7790770602070,toalla c/ala pocket plus x8,900.0
15/07/2024,7790770602087,toalla c/ala pocket plus x16,1900.0
15/07/2024,7790770602100,toalla rosa16u,2100.0
30/12/2024,7790770602124,toallas con fragancia 8u,950.0
04/06/2024,7790770602148,toalla plana c/alas plus norma,900.0
24/06/2024,7790770602162,toalla plana sin ala c/calen 8,900.0
29/07/2024,7790770602186,pd anatomico manzanilla 20u,1000.0
25/11/2024,7790770602193,pd anatomico manzanilla 50u,2300.0
12/08/2024,7790770602216,diarios multiestilo 20U,1400.0
12/08/2024,7790770602223,protc. diarios multiestilo 50u,2950.0
07/10/2024,7790770602254,diarios normal c.fragancia 50U,2300.0
12/08/2024,7790770602278,protector diarios cola less 50,2950.0
12/08/2024,7790770602285,pd anatomico c/frag manza 20u,1200.0
10/07/2024,7790770602292,toallas buenas noches 16und,5200.0
